region,total_population,male_proportion,female_proportion
北京,21893095,51.14,48.86
天津,13866009,51.53,48.47
河北,74610235,50.50,49.50
山西,34915616,50.99,49.01
内蒙古,24049155,51.04,48.93
辽宁,42591407,49.92,50.08
吉林,24073453,49.92,50.08
黑龙江,31850088,50.09,49.91
上海,24870895,51.77,48.23
江苏,84748016,50.78,49.22
浙江,64567588,52.16,47.84
安徽,61027171,50.97,49.03
福建,41540086,51.68,48.32
江西,45188635,51.60,48.40
山东,101527453,50.66,49.34
河南,99365519,50.15,49.85
湖北,57752557,51.42,48.58
湖南,66444864,51.16,48.84
广东,126012510,53.07,46.93
广西,50126804,51.70,48.30
海南,10081232,53.02,46.98
重庆,32054159,50.55,49.45
四川,83674866,50.54,49.46
贵州,38562148,51.10,48.90
云南,47209277,51.73,48.27
西藏,3648100,52.45,47.55
陕西,39528999,51.17,48.83
甘肃,25019831,50.76,49.24
青海,5923957,51.21,48.79
宁夏,7202654,50.94,49.06
新疆,25852345,51.66,48.34
香港特别行政区,7474200,-,-
澳门特别行政区,683218,-,-
台湾地区,23561236,-,-
